"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"fermverd"
"1";"Ránargata";101;"Fjölbýli";64900000;5;137,8;470972
"2";"Bugðulækur ( Opið Hús )";105;"Fjölbýli";34900000;4;90,6;385210
"3";"Tjarnarlundur";600;"Fjölbýli";13800000;2;43,1;320186
"4";"Laugateigur";105;"Fjölbýli";41900000;4;101,2;414032
"5";"Borgarleynir";801;"Sumarhús";24900000;4;75,7;328930
"6";"Búland";108;"Par/Raðhús";69900000;7;223,6;312612
"7";"Ársalir";201;"Fjölbýli";40900000;4;123,4;331442
"8";"Ljósheimar";104;"Fjölbýli";34900000;4;102;342157
"9";"Suðurgata";220;"Fjölbýli";26700000;4;84,6;315603
"11";"Lundur";200;"Fjölbýli";67900000;4;141,4;480198
"12";"Vesturgata";300;"Einbýli";27500000;7;210,8;130455
"13";"Frostafold";112;"Fjölbýli";38900000;4;131,7;295368
"14";"Ennishvarf";203;"Fjölbýli";47900000;4;155,7;307643
"15";"Eyrarskógur";301;"Sumarhús";3900000;2;17,7;220339
"16";"Ásgarður";108;"Fjölbýli";28900000;3;72,2;400277
"17";"Skálatún";600;"Fjölbýli";29900000;4;110;271818
"18";"Kirkjubraut ";170;"Einbýli";112000000;9;324,5;345146
"19";"Vogatunga";270;"Par/Raðhús";42900000;5;163,2;262868
"20";"Klapparstígur";101;"Fjölbýli";35300000;2;66,3;532428
"22";"Hraunbrún";220;"Einbýli";54900000;6;165,6;331522
"23";"Langamýri";210;"Fjölbýli";41900000;4;105,4;397533
"24";"Breiðvangur";220;"Fjölbýli";30600000;4;129,3;236659
"25";"Gullsmári";201;"Fjölbýli";39950000;3;97;411856
"27";"Eskihlíð skipti";105;"Fjölbýli";43800000;4;116,6;375643
"28";"Miðtún";460;"Fjölbýli";8200000;4;954;8595
"29";"Hjallahlíð";270;"Fjölbýli";39900000;5;122,1;326781
"30";"Fitjahlíð";311;"Sumarhús";16000000;4;48;333333
"31";"Bólstaðarhlíð";105;"Hæðir";47900000;4;114,2;419440
"32";"Hlíðargata";245;"Einbýli";16000000;4;160,8;99502
"33";"Sumarhús Í Grímsnesi Snæfoksstaðir";802;"Sumarhús";39900000;5;99,8;399800
"34";"Suðurgata";101;"Hæðir";74900000;4;169,7;441367
"35";"Berjavellir ";221;"Fjölbýli";32800000;4;110,6;296564
"37";"Smáratún";800;"Fjölbýli";17900000;4;892;20067
"38";"Vesturgata";101;"Fjölbýli";28500000;2;49,4;576923
"39";"Fitjahlíð";311;"Sumarhús";7500000;3;41,4;181159
"40";"Djúpahraun";801;"Sumarhús";24000000;3;77,8;308483
"41";"Laufhagi";800;"Einbýli";32500000;5;167,7;193798
"42";"Munkaþverárstræti";600;"Einbýli";34900000;4;123,3;283049
"43";"Bólstaðarhlíð";105;"Fjölbýli";27600000;2;56,4;489362
"44";"Þorrasalir";201;"Fjölbýli";44900000;4;112;400893
"45";"Langalína";210;"Fjölbýli";43900000;4;151,7;289387
"46";"Kaplaskjólsvegur";107;"Fjölbýli";32900000;3;73,3;448840
"47";"Kotvöllur";861;"Sumarhús";44500000;3;91,9;484222
"48";"Guðnýjarbraut";260;"Einbýli";48000000;6;253,3;189499
"49";"Hallskot lóð";861;"Sumarhús";25900000;3;64,2;403427
"50";"Vatnsendahlíð";311;"Sumarhús";4500000;4;99,5;45226
"51";"Dalbrún";700;"Einbýli";29700000;5;154,7;191984
"52";"Heiðargerði";108;"Einbýli";64900000;6;206,3;314590
"53";"Dísarás";110;"Par/Raðhús";67500000;8;297,8;226662
"54";"Vatnsendahlíð";311;"Sumarhús";11500000;4;76,5;150327
"56";"Skólagerði";200;"Par/Raðhús";64900000;5;205,2;316277
"57";"Sogavegur";108;"Hæðir";49900000;5;178,5;279552
"58";"Rauðalækur";105;"Hæðir";43500000;5;121,9;356850
"59";"Hverfisgata";101;"Fjölbýli";42500000;4;99,4;427565
"60";"Hraunbær";110;"Fjölbýli";26500000;4;86,8;305300
"62";"Tungusel";112;"Fjölbýli";23900000;3;88;271591
"63";"Sólvellir";800;"Einbýli";27800000;5;175,3;158585
"64";"Suðurtröð";800;"Hesthús";23000000;0;247,1;93080
"65";"Nesbakki ( íbúð";740;"Fjölbýli";14900000;4;92,4;161255
"66";"Öldugata";101;"Fjölbýli";29900000;3;72,2;414127
"67";"Æsufell";111;"Fjölbýli";27900000;4;124,1;224819
"68";"Fífumói";230;"Fjölbýli";13043518;2;54;241547
"69";"Nökkvavogur";104;"Fjölbýli";35900000;4;94,9;378293
"70";"Miðtún";105;"Fjölbýli";30900000;4;72,1;428571
"71";"Naustabryggja";110;"Par/Raðhús";64900000;5;186,7;347616
"72";"Silfurtún";250;"Fjölbýli";17900000;4;91,5;195628
"74";"Húnabraut ";540;"Einbýli";23900000;6;254;94094
"75";"Vallholt";300;"Hæðir";28500000;6;151,5;188119
"76";"Hringbraut";101;"Fjölbýli";24700000;2;52,6;469582
"77";"Heiðarlundur";600;"Par/Raðhús";37000000;5;142,6;259467
"78";"Garðarsbraut";640;"Einbýli";9500000;6;153,4;61930
"79";"Langalína ";210;"Fjölbýli";58000000;3;116,2;499139
"80";"Kópubraut";260;"Einbýli";37900000;4;151,7;249835
"81";"Hulduhlíð";270;"Fjölbýli";26900000;2;65,8;408815
"84";"Lundur";200;"Fjölbýli";108000000;3;159,3;677966
"85";"Hringbraut";107;"Fjölbýli";29000000;3;91,1;318332
"86";"Hamrakór";203;"Einbýli";59900000;5;228,5;262144
"88";"Vegghamrar";112;"Fjölbýli";26500000;3;76,9;344603
"89";"Þrastarás Opið Hús";221;"Fjölbýli";34900000;4;109;320183
"90";"Austurbrún";104;"Fjölbýli";23900000;2;47,6;502101
"91";"Hafnarstræti";470;"Einbýli";20000000;9;220,5;90703
"92";"Laugarnesvegur";105;"Fjölbýli";41200000;4;116,7;353042
"93";"Kópubraut";260;"Einbýli";40900000;5;238,8;171273
"94";"Heiðarhorn";230;"Einbýli";51900000;6;203,9;254537
"95";"Hjallalundur";600;"Fjölbýli";19900000;4;87,9;226394
"96";"Veitingarekstur";101;"Fyrirt.";49000000;0;370;132432
"97";"Klukkuvellir -";221;"Fjölbýli";30000000;3;80,5;372671
"99";"Heynes";301;"Jörð/Lóð";66000000;0;409;161369
"100";"Hraunbær";110;"Fjölbýli";32500000;2;68,9;471698
"101";"Skúlagata";101;"Fjölbýli";42900000;3;81,1;528977
"102";"Hlunnavogur *opið Hús*";104;"Hæðir";39900000;4;105,4;378558
"103";"Áshildarvegur ";801;"Sumarhús";7500000;2;25;300000
"104";"Túngata";245;"Fjölbýli";14900000;3;149,6;99599
"105";"Hvammsdalur";190;"Einbýli";32000000;5;195,7;163516
"106";"Þórustígur";260;"Einbýli";39900000;6;294;135714
"107";"Brekkubyggð";210;"Par/Raðhús";36400000;2;78,1;466069
"108";"Hólmgarður";230;"Fjölbýli";18500000;3;93,5;197861
"109";"Blikabraut";230;"Fjölbýli";21500000;4;127,4;168760
"110";"Silfurtún";250;"Par/Raðhús";15900000;3;78,6;202290
"111";"Erluás";221;"Fjölbýli";38900000;4;135,4;287297
"112";"Faxabraut";230;"Fjölbýli";16900000;6;133,1;126972
"113";"Gagnheiði";800;"Atvinnuhús";166000000;0;1384,7;119882
"114";"Laut";240;"Fjölbýli";25500000;4;119,3;213747
"115";"Fljótshlíð Hallskot";861;"Sumarhús";25900000;0;64,2;403427
"116";"Svarthamrar";112;"Fjölbýli";32300000;4;106;304717
"118";"Fagrihvammur";220;"Fjölbýli";35800000;4;134,3;266567
"120";"Bergstaðastræti";101;"Fjölbýli";34900000;4;72,2;483380
"122";"Glitvellir";221;"Fjölbýli";39500000;4;122,6;322186
"123";"Sviðholtsvör";225;"Einbýli";47900000;6;217,3;220433
"124";"Móavegur";260;"Einbýli";49900000;6;235,6;211800
"125";"Fjarðarás Opið Hús";110;"Einbýli";79900000;8;279,1;286277
"126";"Heiðarlundur";210;"Einbýli";79500000;7;277;287004
"127";"Nátthagi";245;"Sumarhús";22900000;4;83,2;275240
"129";"Birkiás";210;"Par/Raðhús";64900000;5;184,4;351952
"130";"Reykjavíkurvegur";220;"Einbýli";29800000;6;140,6;211949
"131";"Dúfnahólar";111;"Fjölbýli";32500000;4;132,4;245468
"132";"Lindartún";250;"Par/Raðhús";21900000;3;90,4;242257
"133";"Háholt";220;"Fjölbýli";31900000;4;121,2;263201
"134";"Suðurgata";301;"Fjölbýli";15800000;2;68,9;229318
"135";"Lindarbraut";170;"Hæðir";51500000;5;134,6;382615
"136";"Áshildarvegur";801;"Sumarhús";9900000;1;20,3;487685
"138";"Mörk";801;"Sumarhús";29900000;5;106;282075
"139";"Fiskislóð";101;"Atvinnuhús";110000000;6;449,8;244553
"140";"Bjarkargrund";300;"Einbýli";38800000;7;181,8;213421
"141";"Hagi V/selfjall";851;"Sumarhús";13800000;0;53;260377
"142";"Steinhella ";221;"Atvinnuhús";29500000;0;170,8;172717
"143";"Sunnubraut";230;"Hæðir";17800000;3;80,1;222222
"144";"Austurgata";245;"Fjölbýli";15900000;3;83,9;189511
"145";"Álfhólsvegur";801;"Sumarhús";19900000;3;59,6;333893
"146";"Engihjalli ";200;"Fjölbýli";27900000;3;78,1;357234
"148";"Botnahlíð";710;"Einbýli";25500000;8;290,1;87901
"149";"Þórsgata";101;"Fjölbýli";44900000;3;74,2;605121
"150";"Norðurgrafarvegur";116;"Atvinnuhús";65000000;2;1050,3;61887
"151";"Skúlagata";101;"Fjölbýli";42900000;2;81,1;528977
"152";"Svarthamrar";112;"Fjölbýli";32300000;5;106;304717
"153";"Bjarkarlundur";600;"Fjölbýli";31900000;4;103,2;309109
"154";"Auðbrekka";200;"Atvinnuhús";110000000;0;597;184255
"155";"Desjamýri";270;"Atvinnuhús";6750000;0;42;160714
"156";"Desjamýri";270;"Atvinnuhús";7600000;0;43,5;174713
"159";"Engjasel";109;"Fjölbýli";32500000;4;104,3;311601
"161";"Neðstaleiti";103;"Fjölbýli";44900000;4;133,1;337340
"163";"Efristígur";801;"Sumarhús";4900000;0;12,3;398374
"164";"Hólavangur";850;"Par/Raðhús";20500000;3;85,6;239486
