"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Mánatún";105;"Fjölbýli";52500000;3;120,5;"2016-11-12";435685
"3";"Skógarvegur";103;"Fjölbýli";72100000;3;126,5;"2016-11-12";569960
"4";"Þingholtsstræti";101;"Fjölbýli";56900000;5;142,5;"2016-11-12";399298
"5";"Álalind";201;"Fjölbýli";49900000;4;110,2;"2016-11-12";452813
"6";"Álalind";201;"Fjölbýli";54900000;5;123,6;"2016-11-12";444175
"7";"Álalind";201;"Fjölbýli";51400000;4;110,2;"2016-11-12";466425
"8";"Álalind";201;"Fjölbýli";41400000;3;82,3;"2016-11-12";503038
"9";"Álalind";201;"Fjölbýli";48900000;4;102;"2016-11-12";479412
"10";"Álalind";201;"Fjölbýli";41400000;3;81,9;"2016-11-12";505495
"11";"Álalind";201;"Fjölbýli";49900000;4;110,6;"2016-11-12";451175
"12";"Álalind";201;"Fjölbýli";54900000;5;121,9;"2016-11-12";450369
"13";"Álalind";201;"Fjölbýli";52900000;4;109;"2016-11-12";485321
"14";"Álalind";201;"Fjölbýli";42900000;3;80,7;"2016-11-12";531599
"15";"Álalind";201;"Fjölbýli";38400000;3;81,9;"2016-11-12";468864
"16";"Álalind";201;"Fjölbýli";74900000;5;152,9;"2016-11-12";489863
"17";"Álalind";201;"Fjölbýli";89900000;4;193;"2016-11-12";465803
"18";"Álalind";201;"Fjölbýli";47900000;4;103,2;"2016-11-12";464147
"19";"Álalind";201;"Fjölbýli";44900000;4;99,9;"2016-11-12";449449
"20";"Álalind";201;"Fjölbýli";51400000;4;110,6;"2016-11-12";464738
"21";"Álalind";201;"Fjölbýli";52900000;4;110,2;"2016-11-12";480036
"22";"Álalind";201;"Fjölbýli";44900000;4;101,7;"2016-11-12";441495
"23";"Álalind";201;"Fjölbýli";47900000;4;108,9;"2016-11-12";439853
"24";"Álalind";201;"Fjölbýli";48900000;4;103,2;"2016-11-12";473837
"25";"Álalind";201;"Fjölbýli";64900000;4;121,6;"2016-11-12";533717
