"","X","gotuheiti","postnr","tegund","verd","herbergi","size","nyskrad","fermverd","date"
"2",2,"Skriðustekkur",109,"Einbýli",64900000,7,249.5,"2016-07-06",260120,"2016-07-01"
"3",3,"Stekkjarholt",300,"Hæðir",25900000,5,125.3,"2016-07-06",206704,"2016-07-01"
"4",4,"Kóngsbakki",109,"Fjölbýli",27900000,3,79.5,"2016-07-06",350943,"2016-07-01"
"5",5,"Kambavað",110,"Fjölbýli",34900000,3,96.5,"2016-07-06",361658,"2016-07-01"
"6",6,"Hæðagarður",781,"Einbýli",18000000,5,134.7,"2016-07-06",133630,"2016-07-01"
"7",9,"Kleifahraun",900,"Par/Raðhús",33500000,3,117.6,"2016-07-06",284864,"2016-07-01"
"8",11,"Skriðustekkur",109,"Einbýli",64900000,8,249.5,"2016-07-06",260120,"2016-07-01"
"10",13,"Stekkjarbrekka Leiga Eða Sala",730,"Par/Raðhús",24800000,5,128.9,"2016-07-06",192397,"2016-07-01"
"11",14,"Laufrimi",112,"Fjölbýli",32200000,4,100.4,"2016-07-06",320717,"2016-07-01"
"12",15,"Brekastígur",900,"Fjölbýli",12900000,2,63.2,"2016-07-06",204114,"2016-07-01"
"13",16,"Vífilsgata",105,"Fjölbýli",20900000,2,52,"2016-07-06",401923,"2016-07-01"
"14",17,"Fífumói",800,"Fjölbýli",23500000,3,94.8,"2016-07-06",247890,"2016-07-01"
"15",18,"Starrahólar",111,"Fjölbýli",41900000,4,144.2,"2016-07-06",290569,"2016-07-01"
"16",19,"Vesturberg",111,"Fjölbýli",29400000,4,98,"2016-07-06",300000,"2016-07-01"
"17",20,"Laugavegur",101,"Fjölbýli",69900000,4,129.7,"2016-07-06",538936,"2016-07-01"
"18",21,"Skeiðarvogur",104,"Fjölbýli",44900000,5,141.8,"2016-07-06",316643,"2016-07-01"
"19",22,"Dísarás",110,"Par/Raðhús",64900000,8,297.8,"2016-07-06",217931,"2016-07-01"
"20",23,"Ólafsgeisli",113,"Einbýli",76500000,7,233.7,"2016-07-06",327343,"2016-07-01"
"21",24,"Klapparstígur",101,"Fjölbýli",55900000,4,118.9,"2016-07-06",470143,"2016-07-01"
"22",25,"Þingás",110,"Einbýli",67500000,6,180.2,"2016-07-06",374584,"2016-07-01"
"23",1,"Kársnesbraut",200,"Fjölbýli",36900000,3,109.7,"2016-07-07",336372,"2016-07-01"
"24",2,"Perlukór - Opið Hús",203,"Fjölbýli",43200000,4,114.8,"2016-07-07",376307,"2016-07-01"
"25",3,"Teigasel",109,"Fjölbýli",27500000,3,93,"2016-07-07",295699,"2016-07-01"
"26",4,"Víðimelur",107,"Fjölbýli",39000000,4,78.9,"2016-07-07",494297,"2016-07-01"
"27",6,"Álfheimar",104,"Fjölbýli",29900000,3,77.1,"2016-07-07",387808,"2016-07-01"
"28",7,"Asparfell",111,"Fjölbýli",23900000,2,59.8,"2016-07-07",399666,"2016-07-01"
"30",10,"Steinás",210,"Einbýli",84900000,6,216.4,"2016-07-07",392329,"2016-07-01"
"32",13,"Strandvegur",210,"Fjölbýli",66900000,3,140.9,"2016-07-07",474805,"2016-07-01"
"33",14,"Hnoðravellir",221,"Einbýli",65000000,6,244.5,"2016-07-07",265849,"2016-07-01"
"34",15,"Tryggvagata",800,"Fjölbýli",18500000,3,67.1,"2016-07-07",275708,"2016-07-01"
"35",16,"Hólmgarður",108,"Hæðir",51900000,8,128.4,"2016-07-07",404206,"2016-07-01"
"36",18,"Þorrasalir",201,"Fjölbýli",39900000,4,112,"2016-07-07",356250,"2016-07-01"
"37",19,"Sunnubraut",200,"Hæðir",62900000,5,162.8,"2016-07-07",386364,"2016-07-01"
"38",20,"Jörfabakki",109,"Fjölbýli",15500000,2,51.1,"2016-07-07",303327,"2016-07-01"
"39",21,"Skarðshlíð",603,"Fjölbýli",18500000,3,80.8,"2016-07-07",228960,"2016-07-01"
"40",22,"Fossahvarf",203,"Hæðir",46900000,4,129.9,"2016-07-07",361047,"2016-07-01"
"43",25,"Eikjuvogur",104,"Fjölbýli",32900000,3,73.2,"2016-07-07",449454,"2016-07-01"
"44",1,"Aðalstræti",600,"Fjölbýli",18900000,3,109.6,"2016-07-08",172445,"2016-07-01"
"45",2,"Álftarimi",800,"Einbýli",34900000,5,203.5,"2016-07-08",171499,"2016-07-01"
"46",3,"Álftamýri",108,"Fjölbýli",29900000,3,75.3,"2016-07-08",397078,"2016-07-01"
"47",4,"Furulundur",600,"Par/Raðhús",42500000,3,121.4,"2016-07-08",350082,"2016-07-01"
"48",5,"Kóngsbakki",109,"Fjölbýli",28700000,3,87.9,"2016-07-08",326507,"2016-07-01"
"49",6,"Hafnarstræti ",600,"Fjölbýli",28900000,4,94.7,"2016-07-08",305174,"2016-07-01"
"50",7,"Miðtún",105,"Fjölbýli",44900000,4,154.8,"2016-07-08",290052,"2016-07-01"
"52",10,"Látraströnd",170,"Einbýli",89400000,5,242.8,"2016-07-08",368204,"2016-07-01"
"53",11,"Eskivellir",221,"Fjölbýli",44900000,5,146.5,"2016-07-08",306485,"2016-07-01"
"54",12,"Vesturhús",112,"Einbýli",92500000,6,396.5,"2016-07-08",233291,"2016-07-01"
"55",13,"Ásakór",203,"Fjölbýli",44900000,4,160.5,"2016-07-08",279751,"2016-07-01"
"56",14,"Boðaþing ",203,"Fjölbýli",39900000,3,118.8,"2016-07-08",335859,"2016-07-01"
"57",15,"Boðaþing ",203,"Fjölbýli",39900000,3,117,"2016-07-08",341026,"2016-07-01"
"59",17,"Boðaþing",203,"Fjölbýli",64900000,3,143.9,"2016-07-08",451008,"2016-07-01"
"60",18,"Mávahlíð",105,"Fjölbýli",36900000,3,89.7,"2016-07-08",411371,"2016-07-01"
"61",19,"Asparhvarf",203,"Einbýli",71400000,5,236.7,"2016-07-08",301648,"2016-07-01"
"62",20,"Boðaþing",203,"Fjölbýli",69900000,3,172,"2016-07-08",406395,"2016-07-01"
"63",21,"Jöklafold",112,"Einbýli",75000000,10,318,"2016-07-08",235849,"2016-07-01"
"64",22,"Boðaþing ",203,"Fjölbýli",45500000,3,117.2,"2016-07-08",388225,"2016-07-01"
"65",23,"Boðaþing ",203,"Fjölbýli",38900000,2,111.9,"2016-07-08",347632,"2016-07-01"
"66",24,"Víðihvammur",200,"Hæðir",35900000,3,84.2,"2016-07-08",426366,"2016-07-01"
"67",25,"Brekkugata",600,"Fjölbýli",12500000,2,67.1,"2016-07-08",186289,"2016-07-01"
"68",1,"Ásvallagata",101,"Einbýli",130000000,9,217.7,"2016-07-09",597152,"2016-07-01"
"69",2,"Hamraborg",200,"Fjölbýli",30200000,3,82.3,"2016-07-09",366950,"2016-07-01"
"70",3,"Hafnarbraut",620,"Hæðir",11800000,5,93.9,"2016-07-09",125666,"2016-07-01"
"71",4,"Ferjubakki",109,"Fjölbýli",28900000,4,105.1,"2016-07-09",274976,"2016-07-01"
"72",6,"Hólagata",190,"Einbýli",39900000,4,154.5,"2016-07-09",258252,"2016-07-01"
"74",8,"Njarðvíkurbraut",260,"Einbýli",26900000,4,97.9,"2016-07-09",274770,"2016-07-01"
"75",9,"Lindasmári",201,"Fjölbýli",39900000,4,98.6,"2016-07-09",404665,"2016-07-01"
"76",10,"Fjóluvellir",221,"Par/Raðhús",59900000,5,219.1,"2016-07-09",273391,"2016-07-01"
"77",11,"Hofakur",210,"Fjölbýli",59900000,4,157.3,"2016-07-09",380801,"2016-07-01"
"78",12,"Gilsbakki",203,"Einbýli",79900000,8,175.7,"2016-07-09",454752,"2016-07-01"
"79",13,"Blikahólar",111,"Fjölbýli",26900000,2,63.2,"2016-07-09",425633,"2016-07-01"
"80",14,"Mánatún",105,"Fjölbýli",56500000,3,129.5,"2016-07-09",436293,"2016-07-01"
"81",15,"Holtsvegur",210,"Fjölbýli",64900000,3,100,"2016-07-09",649000,"2016-07-01"
"82",16,"Grandavegur - Opið Hús",107,"Fjölbýli",69500000,4,143.8,"2016-07-09",483310,"2016-07-01"
"83",17,"Holtsvegur",210,"Fjölbýli",89900000,4,140.6,"2016-07-09",639403,"2016-07-01"
"84",18,"Holtsvegur",210,"Fjölbýli",42900000,4,112.5,"2016-07-09",381333,"2016-07-01"
"85",19,"Klukkuberg",221,"Fjölbýli",36700000,4,106.1,"2016-07-09",345900,"2016-07-01"
"86",20,"Sléttuvegur",103,"Fjölbýli",54900000,2,128.5,"2016-07-09",427237,"2016-07-01"
"87",21,"Öldugata",101,"Hæðir",42000000,5,96.3,"2016-07-09",436137,"2016-07-01"
"88",22,"Laugarnesvegur",105,"Fjölbýli",31900000,3,81.9,"2016-07-09",389499,"2016-07-01"
"89",23,"Dalsel",109,"Fjölbýli",19900000,2,58.7,"2016-07-09",339012,"2016-07-01"
"90",24,"Línakur ",210,"Fjölbýli",44900000,4,120.9,"2016-07-09",371381,"2016-07-01"
"91",25,"Holtsvegur",210,"Fjölbýli",45900000,4,124.3,"2016-07-09",369268,"2016-07-01"
"92",1,"Smárabraut",540,"Par/Raðhús",23000000,3,97.8,"2016-07-10",235174,"2016-07-01"
"102",12,"Stórikriki",270,"Fjölbýli",39900000,4,117.1,"2016-07-10",340734,"2016-07-01"
"103",13,"Hellagata",210,"Fjölbýli",48500000,4,120.2,"2016-07-10",403494,"2016-07-01"
"104",14,"Hellagata",210,"Fjölbýli",53900000,4,140.3,"2016-07-10",384177,"2016-07-01"
"105",15,"Hellagata",210,"Fjölbýli",36900000,3,94.5,"2016-07-10",390476,"2016-07-01"
"106",16,"Heiðarlundur (opið hús)",210,"Hæðir",64900000,8,234.6,"2016-07-10",276641,"2016-07-01"
"107",17,"Skjólbraut",200,"Hæðir",25900000,2,73.3,"2016-07-10",353342,"2016-07-01"
"108",18,"Holtsvegur",210,"Fjölbýli",42900000,4,112.5,"2016-07-10",381333,"2016-07-01"
"109",19,"Holtsvegur",210,"Fjölbýli",44900000,4,114.9,"2016-07-10",390775,"2016-07-01"
"110",20,"Holtsvegur",210,"Fjölbýli",43900000,4,114.1,"2016-07-10",384750,"2016-07-01"
"112",22,"Háteigsvegur",105,"Fjölbýli",28000000,4,82.2,"2016-07-10",340633,"2016-07-01"
"113",23,"Rjúpufell",111,"Fjölbýli",28300000,4,108.5,"2016-07-10",260829,"2016-07-01"
"114",24,"Mánatún",105,"Fjölbýli",49800000,3,107.2,"2016-07-10",464552,"2016-07-01"
"115",1,"Helluvað",110,"Fjölbýli",39900000,4,104.3,"2016-07-11",382550,"2016-07-01"
"116",2,"Stakkholt - Opið Hús",105,"Fjölbýli",63500000,4,125.6,"2016-07-11",505573,"2016-07-01"
"118",4,"Þorláksgeisli",113,"Fjölbýli",40900000,4,117.9,"2016-07-11",346904,"2016-07-01"
"119",5,"Hvammur Iii",851,"Einbýli",7000000,2,117,"2016-07-11",59829,"2016-07-01"
"120",6,"Heiðarbraut",230,"Fjölbýli",27900000,5,115,"2016-07-11",242609,"2016-07-01"
"121",7,"Bræðraborgarstígur",101,"Fjölbýli",56900000,3,120.1,"2016-07-11",473772,"2016-07-01"
"122",8,"Heiðarlundur (seld)",210,"Hæðir",64900000,8,234.6,"2016-07-11",276641,"2016-07-01"
"123",9,"Hátún",230,"Hæðir",21900000,4,102,"2016-07-11",214706,"2016-07-01"
"124",10,"Kjalarsíða  ",603,"Fjölbýli",19900000,3,86.1,"2016-07-11",231127,"2016-07-01"
"125",11,"Laxatunga",270,"Par/Raðhús",36500000,3,135.1,"2016-07-11",270170,"2016-07-01"
"128",14,"Lynghólar ",620,"Par/Raðhús",16600000,3,80,"2016-07-11",207500,"2016-07-01"
"129",15,"Langalína",210,"Fjölbýli",85000000,3,189.3,"2016-07-11",449023,"2016-07-01"
"130",16,"Möðrufell",111,"Fjölbýli",26500000,3,77.3,"2016-07-11",342820,"2016-07-01"
"131",17,"Flyðrugrandi",107,"Fjölbýli",29800000,3,67.8,"2016-07-11",439528,"2016-07-01"
"132",18,"Reynidalur",260,"Fjölbýli",24900000,4,117.9,"2016-07-11",211196,"2016-07-01"
"134",21,"Súluhöfði",270,"Einbýli",85700000,5,247.2,"2016-07-11",346683,"2016-07-01"
"135",22,"Jörfabakki",111,"Fjölbýli",15500000,2,51.1,"2016-07-11",303327,"2016-07-01"
"136",23,"Vindakór",203,"Fjölbýli",43000000,4,160.9,"2016-07-11",267247,"2016-07-01"
"137",25,"Langamýri",800,"Par/Raðhús",27600000,3,96.7,"2016-07-11",285419,"2016-07-01"
"138",1,"Drápuhlíð",105,"Hæðir",48500000,4,132.3,"2016-07-12",366591,"2016-07-01"
"139",2,"Svölutjörn",260,"Par/Raðhús",38000000,4,151.3,"2016-07-12",251157,"2016-07-01"
"140",3,"Sölkugata",270,"Par/Raðhús",59900000,5,202.5,"2016-07-12",295802,"2016-07-01"
"141",4,"Faxabraut",230,"Hæðir",19500000,3,80,"2016-07-12",243750,"2016-07-01"
"142",5,"Berjarimi",112,"Fjölbýli",29000000,3,86.4,"2016-07-12",335648,"2016-07-01"
"144",7,"Klukkuvellir",221,"Fjölbýli",31900000,3,80.2,"2016-07-12",397756,"2016-07-01"
"145",8,"Heiðmörk",810,"Par/Raðhús",29700000,3,116,"2016-07-12",256034,"2016-07-01"
"146",9,"Laugarbrekka",640,"Hæðir",25900000,4,169.3,"2016-07-12",152983,"2016-07-01"
"147",10,"Vogagerði",190,"Einbýli",30000000,5,204.2,"2016-07-12",146915,"2016-07-01"
"149",12,"Holtsvegur",210,"Fjölbýli",59000000,4,139.1,"2016-07-12",424155,"2016-07-01"
"150",13,"Hamrakór",203,"Einbýli",59900000,5,228.5,"2016-07-12",262144,"2016-07-01"
"152",19,"Miklabraut",105,"Fjölbýli",44900000,4,117.7,"2016-07-12",381478,"2016-07-01"
"153",20,"Hjarðarhagi",107,"Fjölbýli",35900000,4,84.5,"2016-07-12",424852,"2016-07-01"
"154",21,"Vitastígur",220,"Fjölbýli",28900000,3,68.7,"2016-07-12",420670,"2016-07-01"
"157",1,"Blöndubakki",109,"Fjölbýli",26500000,4,87,"2016-07-13",304598,"2016-07-01"
"158",4,"Hamraborg",200,"Fjölbýli",33200000,3,82.3,"2016-07-13",403402,"2016-07-01"
"161",9,"Arnarsmári",201,"Fjölbýli",46900000,4,138.8,"2016-07-13",337896,"2016-07-01"
"163",11,"Stóragerði",108,"Fjölbýli",34900000,4,121.3,"2016-07-13",287716,"2016-07-01"
"164",12,"Illugagata-10, eh",900,"Fjölbýli",25950000,6,158,"2016-07-13",164241,"2016-07-01"
"165",13,"Björtusalir",201,"Par/Raðhús",68900000,6,189.2,"2016-07-13",364165,"2016-07-01"
"169",20,"Vestursíða",603,"Fjölbýli",20900000,3,86.1,"2016-07-13",242741,"2016-07-01"
"170",22,"Breiðbraut",230,"Par/Raðhús",25900000,4,169.9,"2016-07-13",152443,"2016-07-01"
"171",23,"Safamýri",108,"Fjölbýli",24900000,2,49.9,"2016-07-13",498998,"2016-07-01"
"172",24,"Norðurvangur",220,"Einbýli",81900000,11,272.7,"2016-07-13",300330,"2016-07-01"
"173",25,"Skólagerði",200,"Par/Raðhús",56000000,6,181.6,"2016-07-13",308370,"2016-07-01"
"174",1,"Hamarstígur",600,"Einbýli",56500000,6,241.5,"2016-07-14",233954,"2016-07-01"
"175",2,"Lindasmári",201,"Fjölbýli",39900000,4,98.6,"2016-07-14",404665,"2016-07-01"
"176",3,"Stakkholt - Opið Hús",105,"Fjölbýli",59900000,4,125.6,"2016-07-14",476911,"2016-07-01"
"177",4,"Stekkjarlundur",380,"Einbýli",14900000,4,91.7,"2016-07-14",162486,"2016-07-01"
